Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT),Status
23.37739989,8.28034687,-11.58614063,-10.25795746,-1.971610188,7.024684429,-12.68583107,0.028489828,0.070604205,-0.398467064,15.09375095,21.31875038,-39.63750076,Critical
23.41073322,25.02868462,-2.570474863,-10.0855751,-2.133904696,15.68734455,-26.01724625,0.001714481,0.221660376,-0.881904602,19.16250038,21.97500038,-37.44375229,Critical
23.44406655,30.44556618,10.44530392,-2.658761024,-4.255836487,13.14597511,-27.9456234,-0.315975904,0.462409496,-1.360171318,27.65625191,23.625,-31.16250038,Critical
23.47739988,14.42446709,19.23112679,26.58850861,-1.185945988,9.735797882,-22.08120918,-0.315975904,0.462409496,-1.360171318,30.82500076,24.82500076,-28.14375114,Critical
23.51073322,0.738910496,19.76682854,35.20194626,0.277097642,9.390590668,-16.65751839,-0.437422752,0.156248212,-0.824146271,30.26250076,24.91875076,-28.65000153,Critical
23.54406655,-9.846154213,11.74685097,33.36439896,0.334432781,8.664256096,-11.82261086,0.062862396,-0.003143355,0.127112389,29.45625114,22.46250153,-31.03125191,Critical
23.57739988,-17.55997276,-4.90571928,20.98038864,-0.417176276,7.519150257,-7.041712284,0.062862396,-0.003143355,0.127112389,31.20000076,16.03125,-32.41875076,Critical
23.61073322,-18.91898155,-16.16086197,8.309077263,-2.05741334,6.90216589,-4.54743433,0.367600679,0.115390122,1.538004875,32.4375,11.96250057,-32.38125229,Critical
23.64406655,-8.869918823,-21.34790039,-3.233070135,-4.494755268,5.463732243,-1.140317321,0.132367671,0.073737562,1.986972809,33.91875076,5.456250191,-31.89375114,Critical
23.67739988,4.088398457,-19.3954277,-10.48750114,-8.179501534,0.339886934,6.504411697,-0.001757333,-0.020157263,1.939304352,34.29375076,3.450000048,-31.68750191,Critical
23.71073322,19.2673378,-6.628646851,-14.18175411,-9.202754974,-6.732421875,6.008482456,-0.092376709,-0.176861763,1.188493729,35.96250153,0.956250012,-29.92500114,Critical
23.74406655,23.17198181,6.02381134,-7.042244911,-6.676549911,-8.101946831,-1.149230242,-0.092376709,-0.176861763,1.188493729,38.64375305,-0.65625,-26.53125191,Critical
23.77739988,19.32479858,12.3977747,11.21833134,-1.517452121,-6.003693581,-5.118657112,-0.038561761,0.309164524,-0.835262299,39.41250229,-0.768750012,-25.46250153,Critical
23.81073321,7.170035362,18.94382095,32.31184769,2.937527657,0.250891089,-5.415043831,-0.429218769,0.529895782,-1.420863152,39.375,1.537500024,-25.59375191,Critical
23.84406655,-1.902791858,17.98674011,38.39850616,3.038096905,3.206643581,-4.811894417,-0.464928627,0.173036695,-0.905921936,38.60625076,2.8125,-26.96250153,Critical
23.87739988,-9.501688957,8.377910614,33.63254929,1.8328619,4.412543774,-3.492254972,-0.189294815,0.025875866,-0.347896576,38.47500229,2.118750095,-26.81250191,Critical
23.91073321,-15.26303577,-3.891475677,20.54015541,0.337093323,4.913394928,-2.075904369,0.485317707,0.102383196,1.063768387,39.88125229,-0.206250012,-23.86875153,Critical
23.94406655,-16.16265678,-15.01224327,2.585737944,-1.967885494,5.031124592,0.108950056,0.685310125,0.333528042,2.366178513,41.13750076,-3.243750095,-21.11250114,Critical
23.97739988,-7.147290707,-19.66357803,-4.974852085,-4.548764706,4.27459383,2.554672718,0.577192545,0.339634061,2.72103405,40.83750153,-5.362500191,-20.83125114,Critical
24.01073321,4.662707806,-19.43373489,-11.25304699,-7.036657333,1.281194091,4.129725933,0.237231195,0.098011792,2.466346741,38.85000229,-10.14375019,-21.1875,Critical
24.04406655,21.31527901,-5.422567368,-17.55069542,-8.6727705,-4.202625275,0.228542373,0.049439549,-0.090682745,0.984869957,36.95625305,-14.47500038,-21.65625,Critical
24.07739988,27.59347343,7.363666534,-17.18677711,-7.661756516,-8.767619133,-5.914830685,0.001006722,-0.002444506,0.014555931,36.80625153,-15.00000095,-21.91875076,Critical
24.11073321,25.12445259,14.79018116,-2.773682594,0.430745155,-9.209405899,-8.844776154,0.001006722,-0.002444506,0.014555931,37.70625305,-10.18125057,-24.09375191,Critical
24.14406654,17.19994545,13.12501335,21.66932106,4.44420433,-2.996592045,-7.985813141,-0.776306152,0.629927158,-1.907114029,38.15625,-5.475000381,-25.48125076,Critical
24.17739988,-3.146878958,8.952219009,38.51342773,2.366171837,4.448461533,-6.026574135,-1.110055447,0.356208324,-1.588542461,38.30625153,0.65625,-26.68125153,Critical
24.21073321,-14.44002914,2.788945675,35.4126358,0.784467041,6.869706631,-4.552223206,-1.110055447,0.356208324,-1.588542461,39.15000153,0.037500001,-25.36875153,Critical
24.24406654,-18.86152077,-7.413346291,16.9988327,-0.670461893,7.339296341,-2.778692007,-0.188661575,-0.013622582,-0.292704105,40.48125076,-0.93750006,-23.02500153,Critical
24.27739988,-15.77988434,-21.32874489,-8.018480301,-4.090083599,6.89777565,0.70824188,0.177225113,0.031530976,0.400654793,42.5625,-2.568750143,-18.33750153,Critical
24.31073321,-3.319261312,-17.99811172,-15.57907009,-7.32426405,4.695494652,2.60788393,0.177225113,0.031530976,0.400654793,42.31875229,-3.675000191,-18.35625076,Critical
24.34406654,8.337807655,-11.58614063,-11.32966137,-8.74633503,1.475016117,1.040812254,-0.000773907,0.000224769,-0.003939629,41.96250153,-4.293750286,-18.86250114,Critical
24.37739988,16.97040176,0.319625914,-2.103904724,-6.27254343,-1.414488316,-3.039826393,-0.151323676,0.262813091,-1.128641129,41.75625229,-5.512500286,-18.82500076,Critical
24.41073321,15.78347588,10.96215153,18.3386879,2.107431889,-2.764724016,-5.778609753,-0.424777627,0.965878248,-2.130837917,41.77500153,-5.4375,-18.58125114,Critical
24.44406654,0.470759898,5.928043365,20.06161499,4.090482712,0.051747952,-4.454447746,-0.690330386,1.305605412,-2.367572784,41.66250229,-5.137500286,-18.78750038,Critical
24.47739987,-3.185186148,0.243011475,23.43025589,3.228061199,2.238464832,-2.71736598,-0.690330386,1.305605412,-2.367572784,40.61250305,-5.606250286,-20.55000114,Critical
24.51073321,-0.313939691,-1.785775185,17.32444382,1.724843025,2.379740715,-1.223858953,-1.256339312,0.793250322,-1.975820065,39.15000153,-8.025000572,-22.05000114,Critical
24.54406654,0.738910496,-0.809539437,11.3715601,1.111849308,1.752778888,-0.571089864,-0.973170996,0.460947394,-1.633505344,38.60625076,-9.787500381,-22.125,Critical
24.57739987,0.509067118,-0.867000282,8.519467354,0.725934625,1.232771873,-0.082743511,-0.271554708,0.08332777,-0.633482933,37.83750153,-13.46250057,-20.92500114,Critical
24.61073321,0.183754981,-0.732924998,7.14130497,0.493534446,0.888761103,0.298914254,-0.030532837,0.008913696,-0.089793205,37.72500229,-15.07500076,-20.02500153,Critical
24.64406654,1.427842021,0.319625914,6.547842503,0.474378377,0.431144238,0.559649408,0.132539868,-0.06011641,0.688307762,37.35000229,-17.47500038,-18.05625153,Critical
24.67739987,1.619378209,0.434547603,7.256227016,0.520140052,0.149257585,0.659952641,0.074549437,-0.097463608,0.796295166,36.45000076,-19.55625153,-16.70625114,Critical
24.71073321,3.227084637,0.472854823,8.442852974,0.560846686,-0.210849628,0.718751132,0.040203035,-0.093927979,0.622920036,36.1875,-20.4375,-16.08750153,Critical
24.74406654,3.150470257,0.606930137,7.715614319,0.590645015,-0.512823522,0.760521948,0.001755774,-0.006080151,0.030431747,36.09375,-21.26250076,-14.75625038,Critical
24.77739987,1.198297977,1.391629696,8.768464088,0.712232709,-0.258606732,0.718218982,0.001755774,-0.006080151,0.030431747,36.15000153,-21.60000038,-13.89375019,Critical
24.8107332,0.700603247,1.908478022,8.959701538,0.844861805,0.059330557,0.646117747,-0.128706574,0.134490848,-0.780144691,36.11250305,-21.90000153,-13.51875019,Critical
24.84406654,0.662296057,2.157175779,9.189544678,0.939178765,0.304767489,0.563507259,-0.153750658,0.054093659,-0.638816833,35.79375076,-22.85625076,-12.31875038,Critical
24.87739987,0.241215825,2.463334322,9.208698273,0.962192595,0.44670853,0.535039246,-0.153750658,0.054093659,-0.638816833,35.11875153,-24.24375153,-10.93125057,Critical
24.9107332,0.336684614,2.387019157,8.883087158,0.929600716,0.498722553,0.55392921,0.058967352,0.009473681,0.246962547,34.65000153,-24.93750191,-10.55625057,Critical
